Reference,Customer,Invoice,InvoiceDate,Total,Payments,Hours,Pay,Comp,Burden,Pass,Profit,%Profit,Terms,PostedToAR,ReversedTotal,LocationId
111,ATIRA2,10170,2017-02-10 00:00:00,771.12,0,32,472,1.65,63.86,36.72,196.89,26.8096,A,True,0,1
113,ATIRA2,10171,2017-02-10 00:00:00,553.14,0,24,336,1.18,45.46,26.34,144.16,27.3652,A,True,0,1
114,ATIRA2,10172,2017-02-10 00:00:00,926.66,0,39.5,560.75,1.96,75.87,44.13,243.95,27.6421,A,True,0,1
116,ATIRA2,10173,2017-02-10 00:00:00,360.36,0,16,220,0.77,29.77,17.16,92.66,26.9988,A,True,0,1
118,ATIRA2,10174,2017-02-10 00:00:00,192.78,0,8,116,0.41,15.69,9.18,51.5,28.0501,A,True,0,1
104,ATIRA2,10225,2017-02-17 00:00:00,1877.4,0,80,1152,4.03,155.87,89.4,476.1,26.6275,A,True,0,1
105,ATIRA2,10226,2017-02-17 00:00:00,385.56,0,16,232,0.81,31.39,18.36,103,28.0501,A,True,0,1
140,AXIOM,10079,2017-02-10 00:00:00,549.94,0,25,325,17.39,43.97,26.19,137.39,26.232,A,True,0,1
140,AXIOM,10175,2017-02-10 00:00:00,1759.8,0,80,1040,55.64,140.71,83.8,439.65,26.2321,A,True,0,1
129,BCHOTE,10176,2017-02-10 00:00:00,263.97,0,12,156,8.35,21.11,12.57,65.94,26.2291,A,True,0,1
33,BLACK1,10080,2017-02-10 00:00:00,879.9,0,40,520,27.82,70.36,41.9,219.82,26.2315,A,True,0,1
33,BLACK1,10177,2017-02-10 00:00:00,153.98,0,7,91,4.87,12.31,7.33,38.47,26.2325,A,True,0,1
130,BLACK1,10178,2017-02-10 00:00:00,175.98,0,8,104,5.56,14.07,8.38,43.97,26.2351,A,True,0,1
17,CAMBR1,10081,2017-02-10 00:00:00,681.92,0,31,403,21.56,54.53,32.47,170.36,26.2314,A,True,0,1
88,CAMBR1,10082,2017-02-10 00:00:00,659.93,0,30,390,20.87,52.77,31.43,164.86,26.2307,A,True,0,1
17,CAMBR1,10227,2017-02-17 00:00:00,857.9,0,39,537,28.73,72.66,40.85,178.66,21.8665,A,True,0,1
18,CCIRE1,10083,2017-02-10 00:00:00,1006.74,0,24,528,28.25,71.44,47.94,331.11,34.5338,A,True,0,1
120,CCIRE1,10180,2017-02-10 00:00:00,1321.35,0,31.5,693,37.08,93.76,62.92,434.59,34.5343,A,True,0,1
123,CENTR1,10084,2017-02-10 00:00:00,351.96,0,16,208,11.13,28.14,16.76,87.93,26.2321,A,True,0,1
27,CENTU1,10085,2017-02-10 00:00:00,340.97,0,15.5,201.5,10.78,27.26,16.24,85.19,26.2341,A,True,0,1
29,CENTU1,10086,2017-02-10 00:00:00,750.74,0,30.5,459,24.56,62.1,35.75,169.33,23.6828,A,True,0,1
27,CENTU1,10181,2017-02-10 00:00:00,1231.86,0,56,728,38.95,98.5,58.66,307.75,26.2317,A,True,0,1
